============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Sep 20 2019  09:44:08 pm
  Module:                 nco
  Operating conditions:   BCCOM 
  Interconnect mode:      placement
  Area mode:              physical library
============================================================

                                
   Gate    Instances    Area         Library     
-------------------------------------------------
AN2D2             19     47.880    tcbn65gplusbc 
AN2D4             47    203.040    tcbn65gplusbc 
AN2D8             24    164.160    tcbn65gplusbc 
AN2XD1            32     69.120    tcbn65gplusbc 
AN3D4              1      5.040    tcbn65gplusbc 
AN3D8              1      8.280    tcbn65gplusbc 
AN3XD1             2      5.040    tcbn65gplusbc 
AN4XD1             1      2.880    tcbn65gplusbc 
AO211D2            1      3.240    tcbn65gplusbc 
AO211D4            1      6.480    tcbn65gplusbc 
AO21D0             1      2.520    tcbn65gplusbc 
AO21D1            20     50.400    tcbn65gplusbc 
AO21D2             2      5.760    tcbn65gplusbc 
AO21D4             2     10.080    tcbn65gplusbc 
AO221D0            2      7.200    tcbn65gplusbc 
AO222D1          104    449.280    tcbn65gplusbc 
AO22D4             1      6.480    tcbn65gplusbc 
AO31D0             3      8.640    tcbn65gplusbc 
AO31D1             4     11.520    tcbn65gplusbc 
AO31D2             1      3.240    tcbn65gplusbc 
AOI211D1           1      2.520    tcbn65gplusbc 
AOI211XD1          2      8.640    tcbn65gplusbc 
AOI211XD2          2     16.560    tcbn65gplusbc 
AOI211XD4          1     15.840    tcbn65gplusbc 
AOI21D1           32     69.120    tcbn65gplusbc 
AOI21D2           51    165.240    tcbn65gplusbc 
AOI21D4          116    751.680    tcbn65gplusbc 
AOI221D0           1      2.880    tcbn65gplusbc 
AOI221D1           2      6.480    tcbn65gplusbc 
AOI221D2           2     11.520    tcbn65gplusbc 
AOI221XD4          1     10.440    tcbn65gplusbc 
AOI22D1            6     15.120    tcbn65gplusbc 
AOI22D2           15     64.800    tcbn65gplusbc 
AOI22D4            8     69.120    tcbn65gplusbc 
AOI31D1            5     12.600    tcbn65gplusbc 
AOI31D2            5     21.600    tcbn65gplusbc 
AOI31D4           15    124.200    tcbn65gplusbc 
AOI32XD4           1     10.800    tcbn65gplusbc 
BUFFD0             1      1.440    tcbn65gplusbc 
BUFFD1            36     51.840    tcbn65gplusbc 
BUFFD12            6     47.520    tcbn65gplusbc 
BUFFD16            9     93.960    tcbn65gplusbc 
BUFFD2            56    120.960    tcbn65gplusbc 
BUFFD3            19     47.880    tcbn65gplusbc 
BUFFD4            33    106.920    tcbn65gplusbc 
BUFFD6            18     77.760    tcbn65gplusbc 
BUFFD8            17     97.920    tcbn65gplusbc 
BUFTD1           117    421.200    tcbn65gplusbc 
BUFTD2             1      3.960    tcbn65gplusbc 
CKAN2D8            1      6.120    tcbn65gplusbc 
CKBD0              4      5.760    tcbn65gplusbc 
CKBD1             23     33.120    tcbn65gplusbc 
CKBD16             3     30.240    tcbn65gplusbc 
CKBD2             15     32.400    tcbn65gplusbc 
CKBD3              1      2.520    tcbn65gplusbc 
CKBD4             10     32.400    tcbn65gplusbc 
CKMUX2D1           2      7.200    tcbn65gplusbc 
CKND0              2      2.160    tcbn65gplusbc 
CKND1            131    141.480    tcbn65gplusbc 
CKND12            21    128.520    tcbn65gplusbc 
CKND16             9     71.280    tcbn65gplusbc 
CKND2            149    214.560    tcbn65gplusbc 
CKND2D1           54     77.760    tcbn65gplusbc 
CKND2D2           94    236.880    tcbn65gplusbc 
CKND2D3           37    119.880    tcbn65gplusbc 
CKND2D4           59    254.880    tcbn65gplusbc 
CKND2D8           44    348.480    tcbn65gplusbc 
CKND3             44     95.040    tcbn65gplusbc 
CKND4             52    131.040    tcbn65gplusbc 
CKND6             27     87.480    tcbn65gplusbc 
CKND8             17     73.440    tcbn65gplusbc 
CKXOR2D1           4     14.400    tcbn65gplusbc 
DFCND1             2     17.280    tcbn65gplusbc 
DFCND2             1     10.080    tcbn65gplusbc 
DFCND4             5     59.400    tcbn65gplusbc 
DFCNQD1           82    649.440    tcbn65gplusbc 
DFCNQD2            3     27.000    tcbn65gplusbc 
DFCNQD4            6     60.480    tcbn65gplusbc 
DFD1               1      7.200    tcbn65gplusbc 
DFD2               1      8.280    tcbn65gplusbc 
DFQD1             19    129.960    tcbn65gplusbc 
DFSNQD1            3     24.840    tcbn65gplusbc 
EDFCNQD1           1     10.800    tcbn65gplusbc 
HA1D0              1      5.760    tcbn65gplusbc 
HA1D1              1      6.120    tcbn65gplusbc 
HA1D2              1      6.840    tcbn65gplusbc 
HA1D4              3     31.320    tcbn65gplusbc 
IAO21D1            5     12.600    tcbn65gplusbc 
IAO21D2           29     93.960    tcbn65gplusbc 
IAO21D4            4     21.600    tcbn65gplusbc 
IAO22D2            1      3.960    tcbn65gplusbc 
IND2D0             2      4.320    tcbn65gplusbc 
IND2D1            89    192.240    tcbn65gplusbc 
IND2D2            63    181.440    tcbn65gplusbc 
IND2D4           166    956.160    tcbn65gplusbc 
IND3D1             5     12.600    tcbn65gplusbc 
IND3D2             4     17.280    tcbn65gplusbc 
IND3D4             8     60.480    tcbn65gplusbc 
INR2D1             9     19.440    tcbn65gplusbc 
INR2D2            27     77.760    tcbn65gplusbc 
INR2D4            49    246.960    tcbn65gplusbc 
INR2XD0            8     17.280    tcbn65gplusbc 
INR2XD1            6     17.280    tcbn65gplusbc 
INR2XD2           19     88.920    tcbn65gplusbc 
INR2XD4           23    215.280    tcbn65gplusbc 
